"word","tfidf"
"Germanye_Windtechnik",0.813870733451579
"ZPMC",0.813682384459472
"Mingyang",0.812968804678724
"Nordex",0.811450433097107
"hdd",0.810645713986832
"Fugro_EMU",0.810080635954339
"vibratory",0.809962492146236
"Technip",0.809053423642889
"Nagasaki",0.805281373533857
"HKZ",0.805256987443331
"AWS",0.796783009141144
"Guangdong",0.796742157533123
"Server",0.793727934333589
"3sun_Group",0.793032551866538
"PowerBuoy",0.792800366160578
"Pharos",0.792178983004666
"SPT",0.791534880121106
"Semco",0.788358327939217
"BOW_Terminal",0.788219134397498
"Batwind",0.787484939655681
"lifeboat",0.78612171158636
"AREVA",0.785514381457915
"pylon",0.785412026949552
"Wave_Energy_Scotland",0.783831991365556
"Seafox",0.781557247062456
"ZephIR",0.779937321074932
"Apollo",0.777695630380593
